NULL,Aaniiih Nakoda College,Public,2 Year,MT
NULL,Abilene Christian University,Private,4 Year,TX
NULL,Abraham Baldwin Agricultural College,Public,2 Year,GA
NULL,Academy College,For Profit,2 Year,MN
NULL,Academy of Art University,For Profit,4 Year,CA
NULL,Adams State University,Public,4 Year,CO
NULL,Adelphi University,Private,4 Year,NY
NULL,Adirondack Community College,Public,2 Year,NY
NULL,Adrian College,Private,4 Year,MI
NULL,Advanced Technology Institute,For Profit,2 Year,VA
NULL,Adventist University of Health Sciences,Private,4 Year,FL
NULL,Agnes Scott College,Private,4 Year,GA
NULL,Aiken Technical College,Public,2 Year,SC
NULL,Aims Community College,Public,2 Year,CO
NULL,Alabama Agricultural and Mechanical University,Public,4 Year,AL
NULL,Alabama Southern Community College,Public,2 Year,AL
NULL,Alabama State University,Public,4 Year,AL
NULL,Alamance Community College,Public,2 Year,NC
NULL,Alaska Bible College,Private,4 Year,AK
NULL,Alaska Pacific University,Private,4 Year,AK
NULL,Albany College of Pharmacy and Health Sciences,Private,4 Year,NY
NULL,Albany State University,Public,4 Year,GA
NULL,Albany Technical College,Public,2 Year,GA
NULL,Albertus Magnus College,Private,4 Year,CT
NULL,Albion College,Private,4 Year,MI
NULL,Albright College,Private,4 Year,PA
NULL,Alcorn State University,Public,4 Year,MS
NULL,Alderson-Broaddus University,Private,4 Year,WV
NULL,Alexandria Technical and Community College,Public,2 Year,MN
NULL,Alfred University,Private,4 Year,NY
NULL,Allan Hancock College,Public,2 Year,CA
NULL,Allegany College of Maryland,Public,2 Year,MD
NULL,Allegheny College,Private,4 Year,PA
NULL,Allegheny Wesleyan College,Private,4 Year,OH
NULL,Allen College,Private,4 Year,IA
NULL,Allen County Community College,Public,2 Year,KS
NULL,Allen University,Private,4 Year,SC
NULL,Alliant International University,Private,4 Year,CA
NULL,Alma College,Private,4 Year,MI
NULL,Alpena Community College,Public,2 Year,MI
NULL,Alvernia University,Private,4 Year,PA
NULL,Alverno College,Private,4 Year,WI
NULL,Alvin Community College,Public,2 Year,TX
NULL,Amarillo College,Public,2 Year,TX
NULL,Amberton University,Private,4 Year,TX
NULL,American Academy McAllister Institute of Funeral Service,Private,2 Year,NY
NULL,American Academy of Art,Private,4 Year,IL
NULL,American Academy of Dramatic Arts,Private,2 Year,NY
NULL,American Academy of Dramatic Arts: West,Private,2 Year,CA
NULL,American Baptist College,Private,4 Year,TN
NULL,American Indian College of the Assemblies of God,Private,4 Year,AZ
NULL,American International College,Private,4 Year,MA
NULL,American Jewish University,Private,4 Year,CA
NULL,American National University: Charlottesville,For Profit,2 Year,VA
NULL,American National University: Danville,For Profit,2 Year,VA
NULL,American National University: Harrisonburg,For Profit,2 Year,VA
NULL,American National University: Lynchburg,For Profit,2 Year,VA
NULL,American National University: Martinsville,For Profit,2 Year,VA
NULL,American National University: Salem,For Profit,4 Year,VA
NULL,American  University SystemFor-profit,Public,4 Year,WV
NULL,American River College,Public,2 Year,CA
NULL,American Samoa Community College,Public,2 Year,AS
NULL,American University,Private,4 Year,DC
NULL,American University of Puerto Rico,Private,4 Year,PR
NULL,Amherst College,Private,4 Year,MA
NULL,Amridge University,Private,4 Year,AL
NULL,Ancilla College,Private,2 Year,IN
NULL,Anderson University,Private,4 Year,SC
