NULL,NA,2380,2380,2380,2380,NULL,MT
NULL,10350,34850,45200,34850,45200,NULL,TX
NULL,8474,4128,12602,12550,21024,NULL,GA
NULL,NA,17661,17661,17661,17661,NULL,MN
NULL,16648,27810,44458,27810,44458,NULL,CA
NULL,8782,9440,18222,20456,29238,NULL,CO
NULL,16030,38660,54690,38660,54690,NULL,NY
NULL,11660,5375,17035,9935,21595,NULL,NY
NULL,11318,37087,48405,37087,48405,NULL,MI
NULL,NA,13680,13680,13680,13680,NULL,VA
NULL,4200,15150,19350,15150,19350,NULL,FL
NULL,12330,41160,53490,41160,53490,NULL,GA
NULL,NA,5160,5160,8010,8010,NULL,SC
NULL,NA,2281,2281,13018,13018,NULL,CO
NULL,8379,9698,18077,17918,26297,NULL,AL
NULL,NA,4440,4440,8880,8880,NULL,AL
NULL,5422,11068,16490,19396,24818,NULL,AL
NULL,NA,2310,2310,8070,8070,NULL,NC
NULL,5700,9300,15000,9300,15000,NULL,AK
NULL,7300,20830,28130,20830,28130,NULL,AK
NULL,10920,35105,46025,35105,46025,NULL,NY
NULL,8878,6726,15604,19802,28680,NULL,GA
NULL,NA,3246,3246,5916,5916,NULL,GA
NULL,13200,32060,45260,32060,45260,NULL,CT
NULL,12380,45775,58155,45775,58155,NULL,MI
NULL,12070,45306,57376,45306,57376,NULL,PA
NULL,9608,7144,16752,7144,16752,NULL,MS
NULL,8860,27910,36770,27910,36770,NULL,WV
NULL,NA,5416,5416,5416,5416,NULL,MN
NULL,12516,33484,46000,33484,46000,NULL,NY
NULL,NA,1418,1418,7898,7898,NULL,CA
NULL,NA,4140,4140,9210,9210,NULL,MD
NULL,12140,47540,59680,47540,59680,NULL,PA
NULL,4000,6400,10400,6400,10400,NULL,OH
NULL,7282,19970,27252,19970,27252,NULL,IA
NULL,5070,3150,8220,3150,8220,NULL,KS
NULL,7230,13340,20570,13340,20570,NULL,SC
NULL,NA,18000,18000,18000,18000,NULL,CA
NULL,10998,40258,51256,40258,51256,NULL,MI
NULL,NA,4530,4530,6840,6840,NULL,MI
NULL,NA,34885,34885,34885,34885,NULL,PA
NULL,8546,28302,36848,28302,36848,NULL,WI
NULL,NA,1998,1998,4818,4818,NULL,TX
NULL,NA,2670,2670,5880,5880,NULL,TX
NULL,NA,12840,12840,12840,12840,NULL,TX
NULL,NA,17160,17160,17160,17160,NULL,NY
NULL,NA,34100,34100,34100,34100,NULL,IL
NULL,17955,35160,53115,35160,53115,NULL,NY
NULL,13255,35160,48415,35160,48415,NULL,CA
NULL,8640,10950,19590,10950,19590,NULL,TN
NULL,6250,958,7208,958,7208,NULL,AZ
NULL,14300,35680,49980,35680,49980,NULL,MA
NULL,17362,31826,49188,31826,49188,NULL,CA
NULL,NA,18735,18735,18735,18735,NULL,VA
NULL,NA,18735,18735,18735,18735,NULL,VA
NULL,NA,18735,18735,18735,18735,NULL,VA
NULL,NA,18735,18735,18735,18735,NULL,VA
NULL,NA,18735,18735,18735,18735,NULL,VA
NULL,NA,18735,18735,18735,18735,NULL,VA
NULL,NA,8150,8150,8150,8150,NULL,WV
NULL,NA,1416,1416,9546,9546,NULL,CA
NULL,NA,3700,3700,3700,3700,NULL,AS
NULL,14880,48459,63339,48459,63339,NULL,DC
NULL,NA,6946,6946,6946,6946,NULL,PR
NULL,14740,56426,71166,56426,71166,NULL,MA
NULL,NA,6900,6900,6900,6900,NULL,AL
NULL,9600,17330,26930,17330,26930,NULL,IN
NULL,9830,28000,37830,28000,37830,NULL,SC
NULL,9890,30450,40340,30450,40340,NULL,IN
NULL,10636,17388,28024,17388,28024,NULL,GA
NULL,9078,29288,38366,29288,38366,NULL,MI
NULL,5500,2625,8125,5535,11035,NULL,TX
NULL,9130,8489,17619,20939,30069,NULL,TX
NULL,14630,37860,52490,37860,52490,NULL,MA
NULL,NA,4110,4110,12180,12180,NULL,MD
NULL,NA,5584,5584,5584,5584,NULL,MN
NULL,NA,5073,5073,5073,5073,NULL,MN
NULL,NA,1420,1420,9760,9760,NULL,CA
NULL,7640,35718,43358,35718,43358,NULL,OH
NULL,NA,20670,20670,20670,20670,NULL,CA
NULL,NA,16210,16210,16210,16210,NULL,OH
NULL,NA,22575,22575,22575,22575,NULL,CA
NULL,NA,27435,27435,27435,27435,NULL,WA
NULL,NA,6200,6200,6200,6200,NULL,NC
NULL,7960,14720,22680,14720,22680,NULL,WV
NULL,8304,7214,15518,22021,30325,NULL,NC
NULL,9332,32574,41906,32574,41906,NULL,MI
NULL,NA,23600,23600,23600,23600,NULL,TN
NULL,NA,4811,4811,18671,18671,NULL,CO
NULL,13800,43580,57380,43580,57380,NULL,PA
NULL,10674,26796,37470,26796,37470,NULL,AZ
NULL,12648,10822,23470,28336,40984,NULL,AZ
